INAME	GENE	CHROMO	HongGuo SK1 mitosis MycMcd1 ChIP +NZ 	HongGuo SK1 mitosis NZ MycMcd1p ChIP
YGL036W	MTC2	7	  1.19	  1.23
iDx279I		4	  0.74	  0.70
YBL090W	MRP21	2	  1.03	  0.90
iJx385I				  0.99
iPx491I		16	  1.06	  1.20
iJx051I		10	  0.79	  1.00
YGL037C		7	  1.19	  1.11
iJx117I		10	  0.40	  0.39
YLR268W	SEC22	12	  0.73	
YMR226C		13	  0.75	  0.89
YHR011W		8	  1.82	  1.85
iPx223I		16	  0.81	  0.89
iLx300I		12	  1.01	  1.08
YBL091C	MAP2	2	  1.27	  1.60
YBR174C		2	  1.06	  0.84
YNL100W		14	  1.80	  2.03
iIx094I		9	  1.19	  1.06
iEx171I		5	  0.52	  0.49
iEx237I		5	  1.42	  1.30
YDR423C	CAD1	4	  0.49	  0.44
YLR269C		12	  0.69	  0.65
iOx266I		15	  0.72	  0.62
iKx343I		11	  0.59	  0.56
iGx420I		7	  0.58	  0.56
YMR160W		13	  0.79	  0.81
iJx386I		10	  0.46	  0.55
iJx052I		10	  1.27	  1.36
iPx492I		16	  1.07	  0.99
YGL038C	OCH1	7	  1.88	  1.56
iJx118I		10	  0.80	  0.81
YMR227C	TAF67	13	  0.90	  0.79
YHR012W	VPS29	8	  1.76	  1.60
iPx224I		16	  0.51	  0.58
iLx301I		12	  0.84	  0.76
YNL101W		14	  1.08	  1.01
iIx095I		9	  1.22	  1.47
iEx172I		5	  1.05	  1.15
iEx238I		5	  2.20	  2.25
YDR424C	DYN2	4	  0.86	  0.86
iOx267I		15	  2.54	  2.69
iKx344I		11	  0.74	
iGx421I		7	  0.68	  0.68
YGR055W	MUP1	7	  0.86	
YHR013C	ARD1	8	  1.46	  1.62
iKx010I		11	  0.97	  1.03
YMR161W	HLJ1	13	  1.05	
YBL092W	RPL32	2	  1.04	  0.95
YCL050C	APA1	3	  0.75	  0.88
iJx387I		10	  0.44	  0.45
YBR175W		2	  0.71	  0.70
iFx130I				  0.80
iPx493I		16	  1.44	
iLx570I		12	  1.14	  1.16
iJx053I		10	  0.58	  0.60
YMR162C		13	  1.13	  1.13
iJx119I		10	  0.69	  0.74
iPx225I		16	  0.77	  0.89
iLx302I		12	  0.88	  0.87
YBL093C	ROX3	2	  0.89	  0.98
YNL102W	POL1	14	  1.21	  0.66
iIx096I		9	  1.11	  1.15
iEx173I		5	  1.73	  1.56
iEx239I		5	  0.62	  0.66
YGR056W				  0.75
iOx268I		15	  0.91	  0.91
iKx345I		11	  0.69	  0.63
iGx422I		7	  0.47	  0.62
YGL039W		7	  1.18	  1.16
iKx011I		11	  1.03	  1.03
YMR228W	MTF1	13	  1.41	  1.32
iJx388I		10	  0.97	  0.84
YBR176W	ECM31	2	  1.81	  1.65
YGR057C	LST7	7	  1.36	  1.32
iLx571I		12	  1.55	
iJx054I		10	  1.44	  1.17
iFx131I		6	  0.56	  0.56
iPx494I		16	  1.44	  1.65
YMR163C		13	  0.58	  0.57
iPx160I		16	  0.57	
YDR425W		4	  0.45	  0.52
YMR229C	RRP5	13	  1.01	  0.99
YHR014W	SPO13	8	  1.15	  1.16
iPx226I		16	  0.77	  0.77
iLx303I		12	  0.50	  0.47
YBL094C		2	  1.36	  1.37
YBR177C	EHT1	2	  1.31	  1.25
YNL103W	MET4	14	  0.56	  0.57
iIx097I		9	  1.08	  1.15
iEx174I		5	  0.45	  0.47
iKx280I		11	  1.95	  2.43
YDR426C		4	  0.63	  0.55
iOx269I		15	  1.08	  1.00
iKx346I		11	  1.17	  1.32
iGx423I		7	  0.90	  0.86
YML080W		13	  1.00	  1.07
YNL104C	LEU4	14	  0.48	  0.48
YCL052C	PBN1	3	  1.56	  1.46
iJx389I				  0.93
YDR360W		4	  0.69	  0.70
iPx495I		16	  1.10	
iJx055I		10	  0.41	  0.48
iFx132I		6	  0.84	  0.76
iLx572I		12	  1.45	  1.49
YMR164C	MSS11	13	  0.73	  0.67
iPx161I		16	  1.16	  1.05
iPx227I		16	  0.66	  0.55
iLx304I		12	  0.83	  0.86
YHR015W	MIP6	8	  1.36	  1.40
iIx098I		9	  0.81	  0.84
iEx175I		5	  0.53	  0.55
YDR361C		4	  0.74	  0.86
iKx281I		11	  0.52	  0.51
iKx347I		11	  1.19	  1.21
iGx424I		7	  1.78	  1.59
YML081W		13	  0.79	  0.84
YHR016C	YSC84	8	  1.21	  1.27
iKx013I		11	  0.81	  0.71
YBL095W		2	  1.02	  1.09
YCL053C		3	  1.42	  1.70
YBR178W		2	  0.84	  0.75
iBx210I		2	  1.00	  1.13
iPx496I		16	  0.83	  0.75
iLx573I		12	  1.27	  1.16
iJx056I		10	  1.06	  1.01
iFx133I		6	  1.06	  1.04
YMR165C	SMP2	13	  1.10	  1.20
iPx162I		16	  0.49	  0.54
YDR427W	RPN9	4	  0.80	  0.84
YDL010W		4	  1.18	  1.05
iPx228I		16	  0.52	  0.55
iLx305I		12	  0.60	  0.70
YBL096C		2	  0.93	  0.92
YBR179C	FZO1	2	  0.63	  0.62
iIx099I		9	  1.07	  0.82
iEx176I		5	  0.64	
YNL105W		14	  0.54	  0.50
YDR362C	TFC6	4	  0.45	  0.41
YCR070W		3	  1.17	  1.15
iKx282I		11	  1.17	  1.17
YDR428C		4	  1.52	  1.53
YDL011C		4	  0.88	  1.05
iKx348I		11	  0.73	  0.71
iGx425I		7	  1.88	  1.70
YGR059W	SPR3	7	  1.37	  1.24
YML082W		13	  0.71	  0.53
iKx014I		11	  1.25	  1.34
YNL106C	INP52	14	  0.77	  1.02
YCRX01W		3	  0.90	  0.85
YCR071C	IMG2	3	  2.13	  2.25
YML083C		13	  0.54	  0.49
YIL160C	POT1	9	  0.81	  0.78
iPx497I		16	  1.54	  1.87
iLx574I		12	  0.92	  0.80
iJx057I		10	  1.60	  1.61
iFx134I		6	  0.92	
iBx211I		2	  1.28	  1.02
YMR166C		13	  0.56	  0.48
iLx240I		12	  2.24	  2.51
iPx163I		16	  1.06	  0.91
iPx229I		16	  0.92	  1.08
iLx306I		12	  1.25	  1.24
YNL040W		14	  0.47	  0.48
YHR017W	YSC83	8	  1.15	  1.17
YCRX02C		3	  0.86	  0.87
iEx177I		5	  0.63	  0.59
iKx283I		11	  1.03	  0.86
iGx360I		7	  0.87	  0.89
YCL054W	SPB1	3	  1.11	  1.03
YDR429C	TIF35	4	  0.61	  0.60
YDL012C		4	  1.65	  1.63
iKx349I		11	  0.60	  0.55
iGx426I		7	  1.09	  1.13
YHR018C	ARG4	8	  1.77	  1.41
YNL041C		14	  1.11	  1.09
iKx015I		11	  0.68	
YCR072C		3	  1.51	  1.52
iPx498I		16	  1.27	  1.41
iLx575I		12	  0.93	  0.78
iJx058I		10	  0.73	  0.80
iFx135I		6	  0.57	  0.53
iBx212I		2	  0.97	  1.04
YDR363W	ESC2	4	  0.71	  0.62
iPx164I		16	  0.84	  0.83
iLx241I		12	  3.40	  3.89
YOR350C	MNE1	15	  0.66	  0.70
iLx307I		12	  0.96	  1.01
YCRX03C		3	  0.68	  0.56
iEx178I		5	  0.57	  0.60
YNL107W		14	  1.22	  1.29
YDR364C	CDC40	4	  1.05	  1.05
iGx361I		7	  0.68	  0.78
iKx284I		11	  0.89	  0.92
YCL055W	KAR4	3	  0.77	  0.80
YDR030C	RAD28	4	  0.59	  0.73
iGx427I		7	  1.00	  0.98
YIL161W		9	  0.71	  0.63
YML084W		13	  0.90	  0.85
YHR019C	DED81	8	  0.66	  0.62
iKx016I		11	  1.34	  1.49
YMR167W	MLH1	13	  1.13	  1.40
YNL108C		14	  0.74	  0.63
YBL098W		2	  0.96	  0.84
YCR073C	SSK22	3	  0.87	  0.90
iFx070I		6	  1.18	  1.24
YCL056C		3	  0.82	  0.70
YML085C	TUB1	13	  0.94	  0.76
iLx576I		12	  0.65	  0.64
iJx059I		10	  0.62	  0.81
iFx136I		6	  1.02	  1.03
iDx730I		4	  0.63	  0.60
iBx213I		2	  0.90	  0.93
iPx499I		16	  0.69	  0.66
YMR168C	CEP3	13	  0.96	  0.91
iLx242I		12	  3.72	  3.69
iPx165I		16	  1.52	  1.64
YOR351C	MEK1	15	  0.63	  0.65
YDL013W	HEX3	4	  1.96	  1.98
iLx308I		12	  1.52	  1.87
YNL042W	BOP3	14	  1.48	  1.49
iEx179I		5	  1.13	  1.11
YDR365C		4	  0.51	  0.51
iGx362I		7	  0.70	  0.73
iKx285I		11	  0.88	  1.00
iGx428I		7	  0.69	  0.58
YIL162W	SUC2	9	  0.75	  0.69
YNL043C		14	  0.79	  0.89
iKx017I		11	  1.09	  1.18
iMx200I		13	  0.90	  0.75
YCR074C		3	  1.10	  0.94
YBL099W	ATP1	2	  1.11	  1.28
YCRX04W		3	  3.04	  2.96
iFx071I		6	  6.69	  7.47
YML086C	ALO1	13	  0.72	  0.70
YIL163C		9	  0.64	  0.74
iLx577I		12	  0.85	  0.89
iFx137I		6	  0.52	  0.43
iDx731I		4	  0.58	  0.44
iBx214I		2	  1.51	  1.47
YMR169C	ALD3	13	  0.78	  0.83
YDR031W		4	  0.52	  0.55
iPx166I		16	  0.53	  0.47
iHx320I		8	  0.62	  0.66
iLx243I		12	  2.84	  2.73
YDL014W	NOP1	4	  1.14	  1.03
YNR060W	FRE4	14	  1.02	  1.03
iLx309I		12	  1.05	  1.19
YJL120W		10	  0.60	  0.54
YNL109W		14	  0.71	  0.58
YDR366C		4	  1.82	  1.73
iKx286I		11	  1.11	  1.35
iGx363I		7	  0.77	  0.85
YCL057W	PRD1	3	  0.60	  0.61
YDR032C		4	  0.53	  0.65
YDL015C		4	  1.12	  0.87
iGx429I		7	  0.80	  0.76
YNR061C		14	  0.67	  0.63
YJL121C	RPE1	10	  0.66	  0.57
iKx018I		11	  0.76	  0.66
iMx201I		13	  1.29	  1.08
YOR352W		15	  1.19	  1.10
YCR075C	ERS1	3	  1.09	  1.05
YOL001W	PHO80	15	  8.71	  8.85
YCRX05W		3	  0.96	  0.88
iFx072I		6	  3.75	  3.72
YCL058C		3	  0.59	  0.48
YML087C		13	  1.08	  1.04
YIL164C	NIT1	9	  0.80	  0.78
iLx578I		12	  0.66	  0.71
iDx732I		4	  0.82	  1.05
iBx215I		2	  1.38	  1.14
iHx321I		8	  0.80	  0.61
iPx167I		16	  0.53	  0.44
iLx244I		12	  3.01	  3.31
YOR353C		15	  1.14	  0.90
YNL044W	YIP3	14	  0.74	  0.68
YOL002C		15	  4.95	  6.17
YMR086C-A		13	  1.76	  1.54
iKx287I		11	  0.81	  0.88
iGx364I		7	  3.34	  2.85
iMx470I		13	  0.74	  0.87
iGx030I		7	  1.99	  2.05
YDL016C		4	  1.19	  1.28
YNR062C		14	  0.61	  0.57
iKx019I		11	  0.50	  0.43
iMx202I		13	  0.71	  0.65
YCR076C		3	  1.17	  1.14
YCRX06W		3	  0.94	  0.90
iFx073I		6	  1.69	  2.00
iBx150I		2	  0.80	  0.85
YCL059C	KRR1	3	  0.50	  0.46
YIL165C		9	  0.94	  1.07
iLx579I		12	  1.15	  1.23
iFx139I		6	  0.95	  0.99
iDx733I		4	  3.22	  4.06
iBx216I		2	  0.70	  0.57
YDR367W		4	  0.57	  0.58
YDR033W	MRH1	4	  0.95	  1.04
iHx322I		8	  0.77	  0.86
iLx245I		12	  4.30	  4.96
iPx168I		16	  0.61	  0.56
YOR354C		15	  0.55	  0.45
YOR020C	HSP10	15	  0.95	  0.98
YJL122W		10	  0.51	
YNL045W		14	  0.64	  0.68
YOL003C		15	  8.99	  8.83
iKx288I		11	  0.59	  0.59
iGx365I		7	  1.37	  1.74
YDR034C	LYS14	4	  1.26	  1.50
iGx031I				  0.99
iMx471I		13	  0.84	  0.88
YJR140C	HIR3	10	  0.68	  0.76
YML088W		13	  0.66	  0.69
YJL123C		10	  0.54	  0.51
iMx203I		13	  0.81	  1.02
YCR077C	PAT1	3	  0.82	  0.74
YCRX07W		3	  0.82	  0.79
iFx074I		6	  4.10	  3.83
iBx151I		2	  2.47	  2.50
YMR290W-A		13	  0.76	  0.66
iLx180I				  1.06
YML089C		13	  0.70	  0.80
YIL166C		9	  0.98	  0.96
iDx734I		4	  0.62	  0.61
iBx217I		2	  2.72	  3.42
YDR368W	YPR1	4	  0.89	  0.75
iLx246I		12	  2.15	  1.99
iHx323I		8	  1.04	  1.18
iPx169I		16	  1.19	  1.33
iDx400I		4	  1.00	
YDL017W	CDC7	4	  0.98	  1.03
YNR063W		14	  1.15	  1.07
YOR021C		15	  1.23	  1.30
YNL046W		14	  0.51	  0.49
YDR369C	XRS2	4	  0.91	  0.82
iKx289I		11	  0.77	  0.74
iGx366I		7	  0.62	  0.55
iMx472I		13	  1.42	  1.56
iGx032I		7	  0.47	  0.44
YDL018C	ERP3	4	  0.67	  0.60
YNR064C		14	  2.85	  2.92
YNL047C		14	  0.86	  0.96
YJL124C	LSM1	10	  0.67	  0.51
iMx204I		13	  0.99	  0.91
YOR355W	GDS1	15	  0.64	  0.56
YOL004W	SIN3	15	  4.13	  4.21
YCRX08W		3	  0.90	  0.96
iBx152I		2	  1.98	  2.47
iFx075I		6	  7.73	  7.80
iLx181I		12	  1.05	  1.18
iDx735I		4	  0.57	  0.58
iBx218I		2	  0.58	  0.55
YOR290C	SNF2	15	  0.68	  0.94
YDR035W	ARO3	4	  0.95	  0.88
iHx324I		8	  1.76	  1.84
iLx247I		12	  3.27	  3.80
iDx401I		4	  1.05	  1.06
YJR141W		10	  0.71	  0.63
YOR022C		15	  0.93	  0.92
YCRX09C		3	  1.40	  1.24
YOL005C	RPB11	15	  1.00	  0.88
YPL230W	USV1	16	  0.86	  0.84
iGx367I		7	  0.89	  0.99
YDR036C		4	  1.14	  1.25
iCx110I		3	  0.73	  0.72
iMx473I		13	  0.40	  0.43
iGx033I		7	  0.81	  0.94
YDL019C		4	  1.26	  1.00
YNR065C		14	  1.15	  0.98
YIL167W		9	  1.68	  1.76
YJL125C	GCD14	10	  0.90	  0.78
iMx205I		13	  1.78	  1.58
YOR356W		15	  0.97	  0.95
iDx670I		4	  0.79	  0.87
iBx153I		2	  0.77	  0.71
iFx076I		6	  7.72	  9.39
YCR020C-A	MAK31	3	  1.04	  0.89
iLx182I		12	  0.58	  0.59
iDx736I		4	  0.58	  0.59
iBx219I		2	  0.72	  0.63
iHx325I		8	  1.17	  1.22
iDx402I		4	  0.72	  0.80
YOR357C	GRD19	15	  0.80	  0.68
YJR142W		10	  1.03	  1.13
YOR023C	AHC1	15	  0.84	  0.84
YKR100C		11	  1.29	  1.43
YNL048W	ALG11	14	  0.95	  0.92
YOL006C	TOP1	15	  2.08	  2.17
YPL231W	FAS2	16	  0.81	  0.89
iGx368I		7	  1.04	  1.26
YCR079W		3	  0.51	  0.48
iMx474I		13	  1.19	  1.13
iGx034I		7	  0.89	  1.01
iCx111I		3	  1.19	  1.06
YNR066C		14	  0.71	  0.62
YJR143C	PMT4	10	  0.79	  0.77
YIL168W	SDL1	9	  1.47	  1.60
iMx140I		13	  4.14	  4.27
YOR291W		15	  0.75	  0.72
YNL049C	SFB2	14	  0.81	
iMx206I		13	  1.43	  1.44
YML095C-A		13	  0.67	  0.59
iFx077I		6	 11.28	 11.59
iBx154I		2	  1.13	  1.39
iLx183I		12	  0.73	  0.70
YIL169C		9	  0.76	  0.78
iDx737I		4	  0.71	  0.77
YOR292C		15	  0.99	  0.77
iHx326I		8	  1.06	  0.89
iDx403I		4	  0.80	  0.70
YDR037W	KRS1	4	  1.90	  1.97
YJL060W		10	  1.65	
YJL126W	NIT2	10	  0.97	  0.87
YOL007C	CSI2	15	  4.20	  4.35
YPL232W	SSO1	16	  0.45	  0.43
iGx369I		7	  0.74	  0.78
YDR038C	ENA5	4	  1.16	  1.20
iMx475I		13	  1.17	
iGx035I		7	  1.16	  1.30
iCx112I		3	  0.95	  1.04
YNR067C		14	  0.95	  0.88
iMx141I		13	  6.59	  6.44
YJL127C	SPT10	10	  0.70	  0.81
iMx207I		13	  1.83	  1.50
YOR358W	HAP5	15	  0.71	  0.61
YKR101W	SIR1	11	  0.60	  0.63
YOR024W		15	  1.08	  0.80
iFx078I		6	  4.89	
iDx672I		4	  0.65	
iBx155I		2	  0.57	  0.58
iLx184I		12	  0.47	
iHx261I		8	  1.02	  1.01
iDx738I		4	  0.46	  0.41
iHx327I		8	  1.75	  1.88
iDx404I		4	  0.70	
YJL061W	NUP82	10	  0.67	  0.66
YJR144W	MGM101	10	  0.99	  0.97
YPL233W		16	  0.39	  0.43
YDR039C	ENA2	4	  1.85	  1.14
iMx476I		13	  0.98	  0.93
iGx036I		7	  0.77	  0.83
iCx113I		3	  0.80	  0.88
YNR068C		14	  0.79	  0.72
YJR145C	RPS4A	10	  1.02	  0.98
iMx142I		13	  6.93	
YOR293W	RPS10A	15	  0.44	  0.48
YJL128C	PBS2	10	  0.65	  0.61
YPL234C	TFP3	16	  0.66	  0.60
iMx208I		13	  0.67	  0.70
YOR359W		15	  1.99	  1.92
iBx090I		2	  1.19	  1.03
YOR025W	HST3	15	  1.11	  1.03
YKR102W	FLO10	11	  0.86	  0.86
iDx673I		4	  0.44	  0.44
iBx156I		2	  1.26	  1.25
iFx079I		6	  1.30	  1.71
YOL008W		15	  4.45	  4.96
iLx185I		12	  1.12	  1.06
iHx262I		8	  1.08	  1.32
iDx739I		4	  0.51	  0.52
iDx405I		4	  1.30	  1.38
YJL062W	LAS21	10	  0.51	  0.52
YKL020C	SPT23	11	  0.95	  0.96
iNx100I		14	  0.86	  0.59
YOL009C	MDM12	15	  4.77	  4.95
YJR080C		10	  0.51	  0.48
YJL063C				  0.63
iMx477I		13	  1.29	  1.47
iGx037I		7	  0.94	  0.86
iCx114I		3	  0.74	  0.81
YNR069C		14	  0.76	  0.69
YBR300C		2	  1.32	  1.40
iIx220I		9	  0.96	  0.94
iMx143I		13	  1.98	  3.29
YOR294W	RRS1	15	  0.70	
YJL129C	TRK1	10	  0.67	  0.71
iMx209I		13	  0.98	  1.07
iBx091I		2	  0.99	  1.01
YOR026W	BUB3	15	  0.52	  0.61
YKR103W		11	  0.86	  0.81
iDx674I		4	  0.61	  0.70
iBx157I		2	  0.63	  0.61
iLx186I		12	  0.77	  0.71
iHx263I		8	  1.06	  0.80
iDx340I		4	  0.48	  0.46
iDx406I		4	  1.26	  1.37
YKL021C	MAK11	11	  0.65	  0.61
YOL053C-A		15	  0.99	  0.95
YJR146W		10	  0.79	  0.80
iNx101I		14	  1.35	
YPL235W	RVB2	16	  0.52	  0.52
iMx478I		13	  0.79	  0.85
iGx038I		7	  0.70	  0.83
iCx115I		3	  0.94	  0.79
iMx144I		13	 11.65	 11.39
iIx221I		9	  0.42	  0.42
YOR295W		15	  0.59	  0.62
YPL236C		16	  0.70	  0.69
iBx092I		2	  0.90	  0.80
YOR027W	STI1	15	  0.96	  0.90
YKR104W		11	  1.06	  1.04
YMR052C-A		13	  0.89	  0.91
iDx675I		4	  0.39	  0.43
iBx158I		2	  0.52	  0.55
iLx187I		12	  1.13	  1.10
iHx264I		8	  0.76	  0.71
iDx341I		4	  1.19	  1.15
YAR010C		1	  1.12	  1.02
iNx370I		14	  1.48	  1.44
iDx407I		4	  1.27	  1.29
YJL064W		10	  0.70	  0.74
YBR301W		2	  1.42	  1.37
YKL022C	CDC16	11	  1.35	  1.30
YJR147W	HMS2	10	  0.53	  0.48
YPL170W		16	  0.91	
YOR028C	CIN5	15	  0.62	  0.70
YKR105C		11	  0.97	  1.07
iNx102I		14	  0.55	  0.49
YLR330W	CHS5	12	  0.83	  0.75
iCx050I		3	  2.63	  2.07
YJR082C		10	  0.65	  0.53
YJL065C		10	  0.53	  0.57
iMx479I		13	  0.77	  0.66
iGx039I		7	  0.91	  0.91
iCx116I		3	  1.82	  1.67
YBR302C	COS2	2	  1.01	  1.05
YPL171C	OYE3	16	  0.73	  0.68
iMx145I		13	  1.55	  1.52
YOR296W		15	  1.31	  1.20
YLR331C		12	  0.95	
iBx093I		2	  4.40	  4.98
iDx676I		4	  0.50	
iBx159I		2	  0.83	  0.85
iLx188I		12	  0.95	  0.82
iHx265I		8	  0.61	  0.57
iDx342I		4	  0.97	  0.98
YOR297C	TIM18	15	  0.97	  0.91
iNx371I		14	  1.14	  1.27
iDx408I		4	  0.57	  0.73
YKR040C		11	  0.62	  0.52
YJR148W	BAT2	10	  0.69	  0.60
iNx103I		14	  0.87	
YPL237W	SUI3	16	  0.72	  0.63
iCx051I		3	  2.20	  2.70
YJR083C		10	  1.00	  0.98
iMx080I		13	  0.88	  0.83
YJL066C		10	  0.52	  0.53
iCx117I		3	  1.87	  2.25
YPL172C	COX10	16	  0.99	  1.01
iMx146I		13	  1.07	  1.15
iIx223I		9	  0.64	  0.59
iEx300I		5	  1.14	
YPL238C		16	  0.68	  0.62
YGL100W	SEH1	7	  0.93	  0.96
YKL023W		11	  1.35	  1.55
iBx094I		2	  1.07	  1.01
YOR029W		15	  0.70	  0.55
YKR106W		11	  1.34	  1.43
iDx677I		4	  0.89	  0.86
iLx189I		12	  0.39	  0.41
iHx266I		8	  1.17	  1.16
iDx343I		4	  0.74	  0.72
iNx372I		14	  0.47	  0.62
iDx409I		4	  0.60	  0.62
YKL024C	URA6	11	  1.07	  0.94
YJR149W		10	  1.07	  0.92
iNx104I		14	  0.74	  0.73
YLR332W	MID2	12	  0.72	  0.63
iMx081I		13	  1.66	  1.63
iCx118I		3	  1.01	  1.13
YPR190C	RPC82	16	  1.37	  1.34
iMx147I		13	  2.43	  2.70
iIx224I		9	  0.59	
iEx301I		5	  0.76	  0.79
YLR333C	RPS25B	12	  1.05	
iOx330I		15	  0.95	  0.72
YKR041W		11	  0.52	  0.42
YGL101W		7	  1.05	  1.15
iBx095I		2	  1.43	  1.26
iDx678I		4	  0.35	  0.34
iHx267I				  1.32
iDx344I		4	  2.39	  2.65
iDx010I		4	  0.71	  0.63
iNx373I		14	  0.54	  0.69
YJR084W		10	  0.75	  0.72
YJL067W		10	  0.57	  0.41
YGL102C		7	  0.84	  0.59
YKL025C	PAN3	11	  1.72	  1.87
YPL173W	MRPL40	16	  0.76	  0.84
iNx105I		14	  1.79	  1.90
YPL239W	YAR1	16	  0.47	  0.45
YML117W-A		13	  0.96	  1.02
iCx053I		3	  1.25	  1.41
YJR085C		10	  0.89	  0.92
iMx082I		13	  1.27	
YJL068C		10	  0.47	  0.48
iCx119I		3	  0.75	  0.73
YPL174C	NIP100	16	  0.97	  0.92
iMx148I		13	  3.58	  4.35
iIx225I		9	  1.44	  1.37
iEx302I		5	  1.00	  1.10
YOR299W	BUD7	15	  0.70	  0.70
YLR334C		12	  1.17	  1.21
iOx331I		15	  0.98	
YKR042W	UTH1	11	  1.22	  1.18
iBx096I		2	  0.75	  0.73
iDx679I		4	  0.31	  0.29
iHx268I		8	  1.11	  1.14
iDx345I		4	  0.79	  0.83
YAR014C		1	  2.76	  2.70
iNx374I		14	  1.72	  2.15
iDx011I		4	  0.72	  0.82
YGR120C	SEC35	7	  0.54	  0.45
YKR043C		11	  1.88	  2.04
iNx040I		14	  0.66	  0.62
YPR191W	QCR2	16	  0.62	  0.63
YKL026C		11	  2.33	  2.08
iNx106I		14	  3.62	  4.27
iCx054I		3	  1.80	  1.71
YBR240C	THI2	2	  0.92	  0.98
iMx083I				  0.75
iIx160I		9	  1.17	  1.10
YJL069C		10	  0.64	  0.56
iMx149I		13	  9.95	 12.31
iIx226I		9	  1.06	  1.12
iEx303I		5	  0.89	  0.81
iOx332I		15	  0.44	  0.60
YGL103W	RPL28	7	  0.71	  0.59
YLR001C		12	  7.68	  8.23
iBx097I		2	  0.99	  0.91
iDx280I		4	  0.57	  0.58
iHx269I		8	  0.98	  1.05
iDx346I		4	  1.04	  1.26
iNx375I		14	  0.77	  0.81
iDx012I		4	  0.51	  0.48
YJR086W	STE18	10	  0.79	  0.76
YGR121C	MEP1	7	  0.62	  0.60
iNx041I		14	  0.95	  1.20
YPR192W	AQY1	16	  1.36	  1.45
YGL104C		7	  0.72	  0.65
YPL175W	SPT14	16	  1.17	  1.19
iNx107I		14	  0.65	  0.81
YLR335W	NUP2	12	  1.03	  1.04
iCx055I		3	  3.52	  2.49
YBR241C		2	  0.76	  0.72
iMx084I				  0.92
iIx161I		9	  0.93	  0.91
YPR193C	HPA2	16	  1.23	  1.15
YPL176C		16	  0.76	  0.77
YAR015W	ADE1	1	  2.20	  2.27
iIx227I		9	  0.60	  0.67
iEx304I		5	  1.68	  1.88
YLR336C	SGD1	12	  1.14	  1.21
iOx333I		15	  0.49	  0.53
YKR044W		11	  1.11	  1.22
YLR002C		12	  4.83	  4.29
iBx098I		2	  1.38	  1.59
YKL027W		11	  0.96	  0.97
iDx281I		4	  0.48	  0.53
iDx347I				  0.89
iNx376I		14	  0.75	  0.89
iDx013I		4	  1.58	  1.79
YJR087W		10	  1.08	  0.99
YKR045C		11	  1.62	  1.16
iNx042I		14	  0.64	  0.63
YLR270W		12	  0.89	
iNx108I		14	  0.72	  0.75
iCx056I		3	  1.25	  1.58
YJR088C		10	  0.58	  0.50
iMx085I		13	  0.82	  0.86
iIx162I		9	  0.78	  0.79
YPR194C		16	  1.24	  1.30
YPL177C	CUP9	16	  1.61	  1.63
iIx228I		9	  0.97	  1.06
iEx305I		5	  1.14	  1.28
YLR337C	VRP1	12	  0.90	  0.90
YGR122W		7	  0.87	  0.79
iOx334I		15	  0.95	  1.03
YGL105W	ARC1	7	  0.64	  0.54
YLR003C		12	  3.72	
iBx099I		2	  1.14	  1.23
YKL028W	TFA1	11	  2.75	  3.06
iDx282I		4	  0.70	
iDx348I		4	  0.80	  0.84
YBR242W		2	  1.43	  1.44
YGL040C	HEM2	7	  0.76	  0.72
iNx377I		14	  0.90	  0.93
iDx014I		4	  1.16	  0.90
YGR123C	PPT1	7	  0.68	  0.58
YKR046C		11	  0.87	  0.99
iNx043I		14	  1.18	  1.16
iJx120I		10	  0.51	  0.55
YKL029C	MAE1	11	  0.65	
YLR271W		12	  1.71	  1.62
iNx109I		14	  0.48	  0.52
iCx057I		3	  1.05	  1.23
YBR243C	ALG7	2	  1.65	  1.58
iMx086I		13	  0.83	  1.05
iIx163I		9	  0.60	  0.61
iEx240I		5	  1.51	  1.29
YPR195C		16	  1.06	  0.87
YLR272C	LOC7	12	  1.12	  1.08
iIx229I		9	  0.90	  0.94
iEx306I		5	  2.44	  2.26
iOx335I				  0.71
YGL106W	MLC1	7	  0.44	  0.38
YLR004C		12	  4.03	  4.25
iOx001I		15	  1.36	  1.46
iDx283I		4	  0.51	  0.54
iDx349I		4	  0.80	  1.03
YAR018C	KIN3	1	  2.69	  3.04
YGL041C		7	  1.03	  1.04
iNx378I		14	  0.84	  0.84
iDx015I		4	  0.61	  0.64
YJR089W	BIR1	10	  1.56	  1.32
iNx044I		14	  1.24	  1.37
iJx121I		10	  0.50	  0.43
YGL107C		7	  0.51	  0.51
YPL178W	MUD13	16	  0.91	  1.08
YLR338W		12	  0.98	  0.91
iCx058I		3	  6.80	  7.67
iMx087I		13	  0.71	  0.77
iIx164I		9	  0.45	
iEx241I		5	  0.77	  0.75
YLR273C	PIG1	12	  0.65	  0.64
iOx270I		15	  1.79	  2.15
iEx307I				  0.89
iOx336I		15	  1.80	  2.18
YGR124W	ASN2	7	  0.65	  0.74
YKR047W		11	  0.86	  0.83
iOx002I		15	  0.51	  0.54
YMR230W	RPS10B	13	  0.53	  0.48
YEL059C-A	SOM1	5	  1.09	  1.08
iDx284I		4	  0.46	  0.42
iJx390I		10	  1.32	  1.47
YAR019C	CDC15	1	  3.08	  2.95
YBR244W	AMI1	2	  1.56	  1.52
YGL042C		7	  1.14	  0.98
iNx379I		14	  0.96	  0.94
iDx016I		4	  0.61	  0.65
