INAME	GENE	CHROMO	SIMR_UP2_226	SIMR_UP2_187FR
YGR065C				0.74
iJx062I			0.52	2.21
YGL048C	RPT6		0.6	2.71
YMR171C			0.58	1.7
YLR279W				1.5
iJx128I			0.49	2.09
YDR433W			0.42	1.35
iPx234I			3.1	0.39
iLx311I			0.48	1.66
YBR185C	MBA1		0.75	1.14
iEx182I			0.54	1.52
iEx248I			0.44	2.1
iOx277I			1.53	0.67
iKx354I			0.58	1.38
iGx431I			1.26	0.79
iKx020I				0.75
YHL006C			0.91	1.07
iOx009I			1.65	0.82
YMR237W			0.52	1.85
iJx397I			0.51	1.8
YGR066C			0.7	1.39
YMR294W-A			1.17	0.83
iLx580I			2.06	0.85
iJx063I			0.53	1.92
YGL049C	TIF4632		1.28	0.84
iFx140I			2.12	0.56
iJx129I			0.55	2.02
YDR434W			1.18	0.97
iDx800I			0.67	1.32
YDR100W			1.38	0.6
YHR023W	MYO1		1.52	0.61
iPx235I			1.73	0.55
iLx312I			1.63	0.59
YNL112W	DBP2		1.27	0.73
YLR157C-A	TyA		1.23	1.47
iEx183I			0.5	
iEx249I			0.46	1.68
YDR435C			1.53	0.77
iOx278I			1.05	0.89
iKx355I			0.94	1.08
iGx432I			5.92	0.18
YDR101C			1.01	0.76
YHR024C	MAS2		2.65	0.45
iKx021I			0.44	1.76
YHL007C	STE20		1.67	0.68
YMR172W	HOT1		0.45	2.12
YMR238W	DFG5		1.01	1.06
iJx398I			0.64	1.48
YBR186W	PCH2		0.58	1.74
YGR067C			0.94	1.1
iLx581I			1.45	0.9
iJx064I			0.52	2.43
iFx141I			0.79	1.34
iPx170I			2.22	0.36
iDx801I			0.65	1.61
YMR239C	RNT1		2.21	0.42
iPx236I			3.01	0.33
iLx313I			0.86	1.34
YNL113W	RPC19		0.48	1.62
iEx184I			0.8	1.61
YDR370C			0.54	1.96
iKx290I			2.73	0.35
iOx279I			1.89	0.4
iKx356I			0.43	1.83
iGx433I			0.65	1.36
YDR102C			0.46	1.65
YML090W			0.51	1.33
iKx022I			0.45	1.38
YHL008C			2.32	0.65
YMR173W	DDR48		0.48	2.04
YNL114C			0.5	1.63
iJx399I			1.17	0.81
YBR187W			0.36	2.08
YCR024C-A	PMP1		0.52	1.06
YGR068C			0.58	1.59
iLx582I			0.96	1.13
iJx065I			0.42	1.99
iFx142I			0.96	0.69
YMR174C	PAI3		0.55	1.66
iPx171I			0.78	1.02
YDR436W	PPZ2		0.64	1.59
iDx802I			0.78	1.52
iPx237I			2.48	0.57
iLx314I			0.55	1.9
YHR025W	THR1		1.21	0.92
YBR188C	NTC20		0.51	1.97
iEx185I			0.64	1.51
iKx291I			0.84	1.14
YDL020C	RPN4		1.83	0.46
iKx357I			0.31	2.48
iGx434I			0.95	1.41
iKx023I			0.52	1.58
YHL009C	YAP3		0.68	1.5
iGx100I			1.4	0.64
YNL115C			1.23	0.84
YML092C	PRE8		2.86	0.33
iJx066I			1.43	0.78
YDR371W			1.28	0.86
iBx220I			0.59	1.75
iFx143I			0.84	1.09
iPx172I			0.53	1.45
YDR437W			0.62	1.61
iDx803I			2.04	0.49
YDR103W	STE5		1.86	0.46
iPx238I			1.68	0.61
iLx315I			0.49	1.72
YHR026W	PPA1		2.65	0.38
iEx186I			0.49	1.79
YDR372C			1.06	0.93
iKx292I			0.85	0.98
YCL063W			0.71	1.05
YGR069W				1.33
iKx358I			1.71	0.66
iGx435I			0.5	1.57
YDR104C			1.52	0.62
YHR027C	RPN1		1.48	0.63
YNL050C			3.2	0.33
iKx024I			1.92	0.31
YMR175W	SIP18		0.54	1.62
iGx101I			1.77	0.52
YCL064C	CHA1		1.37	0.67
YBR189W	RPS9B		0.6	1.44
iJx067I			1.5	0.71
iBx221I			0.52	1.72
iFx144I			0.56	1.57
iLx250I			0.66	1.37
iPx173I			0.73	1.29
YDL021W	GPM2		2.61	0.38
YDR438W			0.66	1.43
iDx804I			1.22	0.74
iPx239I			1.15	1.02
iLx316I			0.95	1.08
iEx187I			0.72	1.71
YNL116W			1.36	0.82
YCR081W	SRB8		0.82	1.23
iKx293I			1.38	0.74
iGx370I			0.55	1.7
iKx359I			0.53	2.17
iGx436I			0.68	1.4
YIL170W	HXT12		0.56	2.04
YDR105C			0.6	2.09
YHR028C	DAP2		0.53	1.64
YML093W			1.84	0.5
YMR176W				0.83
iKx025I			0.52	1.87
iGx102I			1.25	0.75
iJx068I			1.95	0.59
YDR373W	FRQ1		0.65	1.69
iBx222I			0.43	2.08
iFx145I			2.88	0.37
iLx251I			0.79	1.17
iPx174I			1.84	0.6
YDL022W	GPD1		0.68	1.31
YDR439W	LRS4		1.93	0.58
YOR360C	PDE2		2.26	0.48
iDx805I			0.88	1.11
iLx317I			3.11	0.32
YNL051W			3.24	0.37
YNL117W	MLS1		0.53	1.7
iEx188I			0.67	1.08
YDR374C			0.7	1.29
YCR082W			1.74	0.64
iKx294I			0.63	1.32
iGx371I			0.51	1.5
YCL065W			1.61	0.77
YDR040C	ENA1		1.24	0.84
YDL023C			0.61	1.57
iGx437I			0.39	
YIL171W	HXT12		0.61	1.55
YHR029C			0.61	1.64
YML094W	GIM5		0.51	2.06
YMR177W	MMT1		0.8	1.39
iGx103I			2.11	0.42
YNL118C	DCP2		1.34	0.91
iFx080I			2.15	0.45
YIL172C			1.56	0.69
YML095C	RAD10		0.55	1.78
iJx069I			0.79	1.43
iBx223I			0.48	2.09
iDx740I			1.79	0.48
iFx146I			2.05	0.34
iPx175I			0.81	1.26
iLx252I			0.86	0.85
YOR361C	PRT1		0.57	1.71
iDx806I			1.5	0.58
YDR106W	ARP10		0.57	1.45
iLx318I			1.64	0.72
YNL052W	COX5A		1.14	0.78
iEx189I			1.12	0.87
YDR375C	BCS1		0.63	1.86
iKx295I			0.69	1.3
YCR083W	TRX3		2.94	0.29
iGx372I			0.75	0.84
YCL066W	HMLALPHA1		1.33	0.73
YDL024C			0.81	1.38
iGx438I			0.42	2.21
YDR107C				0.75
YJL130C	URA2		0.82	0.87
iKx027I			0.49	2.04
YMR178W			0.76	1.22
iGx104I			0.54	1.47
iMx210I			1.23	0.65
YCR084C	TUP1		1.02	1.12
YOL010W			3.24	0.33
YCL067C	HMLALPHA2		1.26	0.69
YHR139C-A			0.91	0.92
iFx081I			1.73	0.67
iBx224I			0.65	1.66
iDx741I			0.74	1.37
iFx147I			1.09	0.98
YDR041W			1.12	0.77
iPx176I			1.21	0.78
iLx253I			0.67	1.46
YOR362C	PRE10		0.52	1.95
iDx807I			1.01	1.18
YNR070W			0.77	0.98
iLx319I			0.68	1.38
YNL053W	MSG5		0.85	1.32
YNL119W			2	0.54
iKx296I			0.93	1.07
iGx373I			1.92	0.45
YDR042C			1.92	0.53
YDL025C			0.76	1.39
iGx439I			0.76	1.31
YNR071C			1.67	0.63
YIL173W				0.82
YML096W			0.47	2.02
YJL131C			4.32	0.23
iKx028I			0.53	1.81
YMR179W	SPT21		1.57	0.65
iGx105I			0.69	1.38
iMx211I			0.99	0.86
YOL011W	PLB3		0.96	1.07
YCL068C			1.31	0.8
iFx082I			1.8	0.43
YML097C	VPS9		0.55	1.37
YDR376W	ARH1		0.42	1.88
iBx225I			3.7	0.28
iDx742I			1.67	0.52
iFx148I			0.59	1.8
iLx254I			0.7	1.52
iPx177I			0.57	1.38
YOR363C	PIP2		0.7	1.58
iDx808I			1.55	0.73
YDR108W	GSG1		2.19	0.46
YNL054W	VAC7		0.59	1.31
YOL012C	HTA3		0.49	1.78
iKx297I			0.93	0.96
iGx374I			1.55	0.62
iMx480I			1.93	0.5
iGx040I			0.97	0.69
YDR109C			1.89	0.47
YIL174W			1.76	1
YNL055C	POR1		0.6	1.48
iKx029I			0.58	1.54
iGx106I			0.51	1.83
iMx212I			0.66	1.2
iBx160I			2.93	0.39
iFx083I			1.89	0.55
iBx226I			1.12	0.84
YDR377W	ATP17		0.64	1.17
iDx743I			1.45	0.84
iFx149I			1.21	0.72
iPx178I			4.02	0.2
YDL026W			0.74	1.37
iDx809I			0.93	1.38
YNR072W	HXT17		0.85	1.52
YJL132W			3.02	0.33
YOL013C	HRD1		0.75	1.44
YDR378C	LSM6		0.56	1.8
iKx298I			2.21	0.67
YCR086W			0.49	1.8
iGx375I			2.26	0.47
YCL069W			1.23	0.8
iMx481I			1.92	0.43
YDL027C			0.69	1.4
iGx041I			1.03	0.8
YJR150C	DAN1		1.15	0.84
YNR073C			0.6	1.37
YIL175W			1.74	0.93
YML098W	TAF19		0.68	1.56
iGx107I			0.53	2.21
YER001W	MNN1		1.84	0.57
iMx213I			0.75	1
YOR364W			0.41	1.61
YCR097WA	a1		1.33	0.69
YOR030W	DFG16		0.69	1.21
iBx161I			1.74	0.42
iFx084I			1.64	0.51
iLx190I			0.79	0.89
YIL176C			1.99	0.89
YML099C	ARG81		1.1	0.85
iBx227I			0.8	1.37
iDx744I			1.29	0.69
YDR044W	HEM13		1.47	0.57
iLx256I			0.96	1.09
iPx179I			0.7	1.76
iDx410I			0.43	2.39
YOR365C			0.74	1.76
YJL133W	MRS3		0.84	1.25
YNL056W			0.65	1.79
iKx299I			0.62	1.32
YCR087W			0.55	1.32
iGx376I			0.55	1.71
YDR045C	RPC11		1.77	0.56
iMx482I			1.04	0.86
YDL028C	MPS1		2.71	0.35
iGx042I			0.49	1.58
YJR151C			1.2	0.96
YNR074C			0.58	1.58
iGx108I			0.7	1.79
YER002W			2.26	0.41
YPL240C	HSP82		1.02	1.33
iMx214I			0.63	1.42
YOR031W	CRS5		1.65	0.52
YOL014W			2.53	0.41
iBx162I			1.1	0.95
iFx085I			1.26	0.71
iLx191I			3.88	0.28
YIL177C			0.98	1.4
YDR379W	RGA2		0.7	1.76
iBx228I			1.09	1.05
iDx745I			0.61	1.85
iLx257I			0.73	1.4
iDx411I			0.45	1.87
YER003C	PMI40		3.31	0.35
YJL134W	LCB3		0.52	1.84
YOR032C	HMS1		2.06	0.69
YNL057W			0.45	1.96
YLR400W			0.5	2.03
YCR088W	ABP1		0.41	2.03
iGx377I			0.69	1.4
YDR046C	BAP3		0.63	1.17
iMx483I			0.62	1.89
iCx120I			0.47	1.98
iGx043I			0.93	0.55
YNL058C			0.45	1.93
iGx109I			0.49	1.92
YPL241C	CIN2		0.49	1.81
iMx215I			0.59	1.51
YOR366W			0.97	1
YLR401C			0.53	2.31
YOL015W			1.8	0.61
iBx163I			0.78	1.56
iDx680I			1.08	0.98
iFx086I			2.81	0.35
iLx192I			0.77	1.16
iBx229I			0.99	1.12
iDx746I			0.83	1.19
iLx258I			0.8	1.3
iDx412I			1.68	0.53
YDL029W	ARP2		2.34	0.46
iHx001I			0.86	2.09
YJR152W	DAL5		0.98	1.03
YNR075W	COS10		0.65	1.49
YJL135W			0.43	1.98
YOR033C	DHS1		2.01	0.53
YOL016C	CMK2		1.79	0.7
YCR089W	FIG2		0.73	1.26
iGx378I			0.65	1.59
YJL070C			1.35	0.48
iMx484I			0.71	1.57
iCx121I			0.4	1.59
iGx044I			2.06	0.28
iMx150I			2.47	0.43
YJL136C	RPS21B		0.41	
YNL059C	ARP5		1.44	0.79
YPL242C				0.85
YER004W			1.11	0.95
iMx216I			1.9	0.55
YOR367W	SCP1		0.99	0.62
iBx164I			0.75	1.62
iDx681I			1.87	0.44
iFx087I			2.95	0.31
iLx193I			0.72	1.09
iHx270I			1.22	0.74
iDx747I			0.94	0.82
iLx259I			0.76	1.1
YDR047W	HEM12		0.49	1.69
iDx413I			0.46	1.87
iHx002I			0.59	1.62
YJR153W	PGU1		0.71	1.33
YNR076W	PAU6		2.01	0.8
YOR034C	AKR2		0.77	1.55
YLR402W			0.41	2.61
iGx379I			0.63	1.86
YDR048C			0.56	1.43
iMx485I			0.49	1.91
iCx122I			0.6	1.87
iGx045I			1.55	0.56
YNR077C			1.9	0.84
iMx151I			2.48	0.37
YJL137C	GLG2		0.47	1.98
YER005W	YND1		1.03	1.01
iMx217I			0.5	1.73
YOR368W	RAD17		2.62	0.53
iOx400I			2.25	0.49
iFx088I			2.1	0.56
YOL017W			1.42	0.67
iBx165I			1.14	0.68
iDx682I			1.45	0.64
iLx194I			0.82	1.15
iHx271I			0.71	1.17
iDx748I			1.17	0.81
YJL071W	ARG2		2.02	0.42
iDx414I			0.99	1.06
YOR369C	RPS12		1.55	0.77
YJR154W				1.6
iHx003I			1.17	1.1
YOR035C	SHE4		0.61	1.75
YOL018C	TLG2		1.5	0.72
YPL243W	SRP68		1.99	0.49
YLR403W	SFP1		0.85	1.61
YLL018C-A	COX19		0.62	1.24
YJL072C			0.78	1.34
iMx486I			0.49	1.8
iCx123I			0.51	1.38
iGx046I			0.92	1.17
iMx152I			0.62	1.12
YJL138C	TIF2		0.59	1.61
YER006W			1.79	0.69
YPL244C			0.96	1.24
iMx218I			0.5	1.47
iOx401I			0.87	1.08
iBx166I			0.64	1.45
iDx683I			1.47	0.82
iFx089I			2.13	0.49
iLx195I			0.41	1.9
iHx272I			0.94	1.16
iDx749I			2.11	0.53
YAL001C	TFC3		3.47	0.4
YDR049W			1.46	0.58
iDx415I			0.53	1.97
iHx004I			1.82	0.95
YJR155W	AAD10		0.8	1.25
iNx110I			0.58	1.48
YLR404W			1.13	0.91
YJR090C	GRR1		1.69	0.59
iMx487I			2.06	0.43
iGx047I			0.61	1.89
YJR156C	THI11		1.43	0.75
iMx153I			0.63	1.21
iIx230I			0.81	1.16
YJL139C	YUR1		0.84	1.31
YER007W	PAC2		5.01	0.23
iMx219I			0.61	1.59
YKL030W			0.69	1.18
iOx402I			0.72	1.32
YOR036W	PEP12		0.71	1.79
YOL019W			1.3	0.81
iBx167I			0.46	2.49
iDx684I			0.69	1.39
iLx196I			0.41	1.56
iHx273I			2.42	0.43
iDx350I			0.57	2.14
iDx416I			3.91	0.33
YER008C	SEC3		1.21	0.84
YJL073W	JEM1		0.84	1.83
iHx005I			1.79	0.58
iNx111I			0.59	1.38
YPL245W			0.82	1.17
YLR405W			2.55	0.52
YJR091C	JSN1		0.45	1.82
YJL074C	SMC3		0.68	1.44
iCx125I			2.05	0.52
iMx488I			0.69	1.5
iGx048I			0.57	1.33
iMx154I			1.36	0.54
iIx231I			1.27	0.73
YAL002W	VPS8		0.93	0.61
YPL246C			0.63	1.78
YKL031W			0.66	1.41
YLR406C				0.91
iOx403I			0.55	1.34
YOR037W	CYC2		1.28	0.98
iBx168I			1.28	0.99
iDx685I			0.83	0.95
iLx197I			0.45	1.56
iHx274I			2.56	0.29
iDx351I			0.54	1.66
YAR020C	PAU7		1.67	0.76
iNx380I			0.41	1.78
iDx417I			1.01	0.87
YKL032C	IXR1		1.09	0.86
iHx006I			1.56	0.53
YJR157W			3.04	0.42
YOR038C	HIR2		1.15	1.06
YPL180W			0.57	1.89
iNx112I			0.65	1.81
YLR340W	RPP0		0.73	1.49
iCx060I			1.5	0.83
YJL075C			2.57	0.37
iMx489I			0.6	1.58
iCx126I			3.43	0.37
iGx049I			0.56	1.68
iMx155I			1.49	0.64
iIx232I			1.36	0.56
YAL003W	EFB1		1.82	0.6
YPL247C			0.58	1.93
YER009W	NTF2		0.7	1.27
iOx404I			0.61	1.88
iBx169I			1.22	0.93
iDx686I			4.52	0.2
iLx198I			0.5	1.43
iHx275I			2.96	0.29
iDx352I			0.63	1.54
iNx381I			0.48	1.66
YJR092W	BUD4		1.28	0.64
iDx418I			1.66	0.51
YGL110C			1.52	0.62
iHx007I			1.39	0.53
YJR158W	HXT16		0.94	1.28
YPL181W			0.53	2.05
iNx113I			1.03	0.94
YLR341W			0.6	1.62
YLR407W			0.59	1.79
iCx061I			1.44	0.83
YJR093C	FIP1		3.37	0.32
iMx090I			1.63	0.6
iCx127I			0.81	1.17
YPL182C			0.39	2.11
iMx156I			1.42	0.8
iIx233I			0.58	1.93
iEx310I			0.64	1.76
YAL004W			0.78	1.41
YKR050W				0.75
YPL248C	GAL4		0.86	1.4
YKL033W			2.04	0.58
YLR408C			1.09	0.97
iOx405I			1.63	0.63
YOR039W	CKB2		0.54	1.76
iDx687I			0.49	2.06
iLx199I			0.66	1.3
iHx276I			1.77	0.49
iDx353I			0.69	1.84
YAL005C	SSA1		1.04	1.08
iNx382I			1.38	0.53
iDx419I			0.6	1.65
YJL076W	NET1		1.11	0.8
iHx008I			0.56	1.63
YJR159W	SOR1		0.63	1.52
iNx114I			1.12	1.11
YLR342W	FKS1		0.62	1.26
YMR300C	ADE4		0.72	1.59
iCx062I			0.91	0.92
YJR094C	IME1		0.96	1.09
iMx091I			2.49	0.35
YJL077C	ICS3		0.45	2.16
iCx128I			0.84	1.13
YPL183C			0.66	1.68
iMx157I			1.19	0.94
iIx234I			0.41	1.65
iEx311I			2.32	0.47
iOx340I			0.38	1.88
YKR051W			3.54	0.35
YPL249C			0.72	1.48
YGL111W			1.73	0.59
YKL034W			0.82	1.31
YLR409C			0.8	1.73
iOx406I			1.11	1
iDx688I			0.49	1.69
iHx277I			0.49	1.76
iDx354I			0.58	1.73
YAR023C			0.78	1.08
iNx383I			4.16	0.19
iDx020I			1.61	0.73
YKR052C	MRS4		2.22	0.46
YGL112C	TAF60		2.08	0.52
iHx009I			0.91	1.24
YMR075C-A			3.22	0.25
iNx115I			0.47	2.19
YLR343W			1.9	0.55
iCx063I			1.08	0.96
iMx092I			0.43	1.43
YJL078C	PRY3		0.42	2.11
iCx129I			0.83	1.08
YPL184C			0.75	1.41
iMx158I			1.1	0.83
iIx235I			2.94	0.29
iEx312I			1.19	0.57
iOx341I			0.72	1.24
YKL035W	UGP1		0.74	1.69
YLR010C			1.79	0.61
iOx407I			1.44	0.66
iDx689I			1.51	0.64
iHx278I			0.59	1.17
iDx355I			2.97	0.39
iNx384I			2.45	0.27
YAL007C	ERP2		1.04	
YJR095W	SFC1		0.83	1.29
iDx021I			1.54	0.57
YGR130C			0.67	1.25
YKR053C	YSR3		2.15	0.62
iNx050I			1.7	0.66
YKL036C			0.65	1.31
iNx116I			1.84	0.55
YLR344W	RPL26A		1.09	0.76
YMR302C	PRP12		0.64	1.59
iCx064I			1.1	0.95
iMx093I			0.75	1.24
iIx170I			3.04	0.43
YJL079C	PRY1		0.53	1.6
iMx159I			1.2	0.87
iIx236I			1.28	0.57
iEx313I			1.45	0.63
iOx342I			1.1	0.75
YGL113W			1.98	0.53
iOx408I			0.59	1.45
iDx290I			1.88	0.65
iHx279I			0.62	1.68
iDx356I			1.01	1.16
YBR250W			0.55	1.72
iNx385I			1.1	0.87
YJR096W			0.62	1.22
iDx022I			0.33	1.91
YKR054C				0.83
iNx051I			2.18	0.49
YPL185W			1	0.86
iNx117I			0.53	1.82
YLR345W			2.14	0.5
YMR303C	ADH2		0.49	2.35
iPx300I			1.4	0.45
iCx065I			1.32	0.87
iMx094I			0.63	1.8
iIx171I			0.53	1.59
YLR280C				1.05
YPL186C			1.92	0.68
iIx237I			0.65	1.38
iEx314I			0.5	1.83
YAL008W	FUN14		3.07	0.45
YDR500C	RPL37B		1.47	0.58
YLR346C			3.06	0.34
YGR131W			0.63	1.37
iOx343I			2.29	0.77
YGL114W			0.71	1.43
YLR012C			3.31	0.33
YKL037W			0.66	1.18
iDx291I			2.47	0.59
iDx357I			0.43	2.26
YBR251W	MRPS5		0.48	1.73
iNx386I			0.76	1.55
YJR097W			0.99	1.01
iDx023I			0.42	1.78
YGR132C	PHB1		0.58	1.79
iNx052I			2.31	0.44
iNx118I			0.42	2.15
iPx301I			1.57	0.55
iCx066I			2.27	0.5
YJR098C			0.65	1.23
iMx095I			1.57	0.6
iIx172I			0.5	1.66
YLR281C			0.71	1.06
iIx238I			0.59	1.15
iEx315I			0.99	0.99
YAL009W	SPO7		1.62	0.57
iOx344I			2.91	0.31
YKR055W	RHO4		0.63	1.04
YGL115W	SNF4		0.58	1.78
YKL038W	RGT1		0.79	1.33
iOx010I			1.45	0.69
iDx292I			0.53	1.55
YMR304W	UBP15		1	0.88
iDx358I			0.44	1.66
YBR252W	DUT1		0.5	2.2
iNx387I			0.63	1.18
iDx024I			1.59	0.59
iNx053I			2.45	0.87
iJx130I			0.92	1.01
YPL187W	MF(ALPHA)1		2.35	0.44
YDR501W	PLM2		1.18	1.02
iNx119I			0.49	1.72
YMR305C	SCW10		1.24	0.73
iPx302I			1.98	
YLR013W	GAT3		3.35	0.31
iCx067I			4.33	0.29
iMx096I			1.96	0.58
iIx173I			1.29	0.84
iEx250I			0.42	1.76
YLR282C			0.78	1.08
YAR027W			0.8	1.29
iIx239I			0.98	0.96
YGL050W			2.71	0.52
iEx316I			1.49	0.89
YDR502C	SAM2		0.71	1.1
YLR348C	DIC1		0.4	1.82
iOx345I			0.98	1.03
YGR133W	PEX4		0.46	2.09
YKR056W	RNC1		0.47	2.07
YGL116W	CDC20		0.6	1.5
YLR014C	PPR1		1.49	0.74
YKL039W	PTM1		0.54	1.65
iOx011I			0.85	1.38
iDx293I			0.49	1.44
iDx359I			0.55	1.29
YBR253W	SRB6		0.56	1.73
iNx388I			0.72	1.35
YJR099W	YUH1		0.63	1.77
iDx025I			1.13	1.15
iNx054I			1.31	1.39
iJx131I			0.73	1.19
YMR240C	CUS1		0.72	1.07
YPL188W	POS5		1.09	1.03
iPx303I			1.7	0.38
iCx068I			3.23	0.37
YBR254C	TRS20		0.64	1.92
iMx097I			1.04	0.8
iIx174I			0.92	0.89
iEx251I			1.97	0.55
iOx280I			0.49	1.98
YAR028W			0.8	1.24
YGL051W			0.72	1.21
iEx317I			0.46	1.73
YDR503C	LPP1		0.89	1.29
iOx346I			0.49	1.99
YGR134W			0.71	1.25
YKR057W	RPS21A		0.48	2.08
iGx500I			0.87	1.09
YGL117W			0.49	1.89
iOx012I			0.57	1.02
iDx294I			0.58	1.67
YMR306W	FKS3		0.67	1.09
iNx389I			0.38	1.7
iDx026I			1.23	1.01
YGL118C				1.82
iNx055I			1.15	1.47
iJx132I			3.98	0.25
YLR283W			1.3	0.75
YPL189W			0.57	1.75
YLR349W			0.55	1.53
iPx304I			2.64	0.43
YLR015W			1.28	1.03
iCx069I			3.09	0.31
iMx098I			0.49	1.68
iIx175I			0.69	1.1
YLR284C	ECI1		1.3	0.74
iOx281I			0.6	1.66
YAR029W			1	0.92
YGL052W			0.87	1.13
iEx318I			0.37	1.82
YDR504C			0.97	1
YHL010C			0.63	1.7
iOx347I			0.47	1.94
iGx501I			0.47	1.74
YGR135W	PRE9		0.73	1.26
YKR058W	GLG1		0.59	1.74
YLR016C			1.18	0.95
iOx013I			1.21	1.13
YMR241W	YHM2		1.2	0.78
iDx295I			1.39	0.71
YBR255W			1.12	0.84
iDx027I			1.55	0.66
iNx056I			1.17	1.34
iJx133I			0.67	1.6
YMR242C	RPL20A		0.78	1.12
YMR308C	PSE1		1.61	0.49
iPx305I			1.2	0.71
YBR256C	RIB5		1.1	1.03
iMx099I			0.66	1.19
iIx176I			2.16	0.55
iEx253I			1.03	0.87
iOx282I			0.76	1.04
YGR070W	ROM1		1.36	0.53
YGL053W			0.92	1.17
iEx319I			0.38	2.36
YDR505C	PSP1		0.57	1.43
YHL011C	PRS3		1.22	1.04
iOx348I			1.4	0.56
iGx502I			0.6	
YGR136W			1.51	0.62
YKR059W	TIF1		0.68	1.57
YGL119W	ABC1		0.6	1.78
iOx014I			1.03	1.02
iDx296I			0.71	1.33
YBR190W			0.68	1.39
YGR071C			1.61	0.5
YGL054C	ERV14		1.49	0.63
iDx028I			1.31	0.83
iNx057I			1.46	0.73
iJx134I			0.43	1.97
YLR285W			1	0.95
YMR243C	ZRC1		0.52	1.88
iPx240I			0.97	1.22
iPx306I			0.98	1.01
YLR017W	MEU1		1.86	0.74
YER119C-A			0.6	1.73
iIx177I			1.65	0.66
iEx254I			1.01	0.96
YLR286C	CTS1		0.92	1.06
iOx283I			0.71	1.16
iKx360I			0.86	1.44
YDR506C			0.65	1.66
iOx349I			1.46	0.71
iGx503I			2.29	0.56
YGR137W			1.59	0.55
YLR018C			1.91	0.68
iOx015I			0.88	1.09
iDx297I			3.35	0.32
YBR191W	RPL21A		0.97	1.11
YBR257W	POP4		0.63	1.71
iDx029I			4.55	0.23
YDR440W	DOT1		2.13	0.46
iNx058I			1.09	0.98
iJx135I			3.25	0.29
iPx241I			1.13	1.03
YHL012W			2.09	0.55
iPx307I			0.71	1.61
YBR258C			0.57	1.51
iIx178I			1.6	0.67
iEx255I			0.58	1.54
YDR441C	APT2		2.62	0.56
YLR287C			0.61	1.79
iOx284I			1.2	0.7
iKx361I			1.53	0.67
YGR072W	UPF3		0.81	0.94
YGL055W	OLE1		1.27	0.82
YHR030C	SLT2		0.68	1.52
YDR507C	GIN4		0.86	0.71
YHL013C			2.86	0.61
iGx504I			0.46	1.55
iOx016I			0.68	1.08
iDx298I			0.9	0.99
YBR192W	RIM2		2.49	0.42
YGR073C			0.94	0.89
iJx070I			0.61	1.7
YGL056C	SDS23		1.19	1.07
iNx059I			0.81	1.24
iJx136I			1.17	0.89
iPx242I			1.29	0.82
YBR193C	MED8		2.85	0.37
iPx308I			1.25	0.59
YLR019W			3.35	0.42
iEx190I			0.84	1.11
iIx179I			1.23	0.58
iEx256I			0.97	1.45
YLR288C	MEC3		0.47	1.92
iOx285I			0.79	1.09
iKx362I			2.01	0.43
YHR031C	RTT104		0.53	2.31
YDR508C	GNP1		0.52	2.38
YHL014C	YLF2		3.29	0.31
iGx505I			0.61	1.68
YGR139W			0.73	1.12
YNL120C			1.1	0.92
iOx017I			0.81	1.27
YMR245W			0.47	2.09
iDx299I			1.14	1.08
iJx071I			0.54	1.84
YGL057C			2.94	0.35
YBR259W			1.71	0.49
YMR180C	CTL1		1.48	0.61
iJx137I			0.58	1.56
YDR442W			0.78	0.87
iPx243I			1.47	0.59
iLx320I			0.5	1.68
iPx309I			1.52	0.65
iEx191I			0.84	1.09
YHR214W-A			0.57	1.72
iEx257I			0.47	1.5
YDR443C	SSN2		0.7	1.26
iOx286I			0.79	0.84
iKx363I			0.57	1.61
iGx440I			1.1	0.97
YGR074W	SMD1		1.13	0.8
iGx506I			0.66	
YNL121C	TOM70		0.89	0.82
iOx018I			0.41	2.11
YMR246W	FAA4		1.57	0.73
YBR194W			2.68	0.45
YGR075C	PRP38		1.12	0.87
iJx072I			0.79	1.48
YMR181C			0.52	1.48
iJx138I			0.85	1.27
YLR289W	GUF1		1.34	0.68
YMR247C			0.83	0.94
YHR032W			0.56	1.73
iPx244I			0.44	1.73
iLx321I			0.74	1.29
YDR509W			0.49	1.82
YHL015W	RPS20		1.08	0.89
YBR195C	MSI1		1.7	0.54
iEx192I			0.54	1.56
iEx258I			1.84	0.62
iAx001I			2.3	0.94
iOx287I			1.83	0.49
iKx364I			1.31	0.64
iGx441I			2.07	0.52
YGL058W	RAD6		1.57	0.78
iKx030I			0.59	1.92
YHL016C	DUR3		2.41	0.51
iGx507I			1.16	0.94
YNL122C			2.78	0.35
iOx019I			0.45	1.94
YGR076C	MRPL25		0.71	1.21
iJx073I			0.58	2.05
iFx150I			0.69	1.37
YMR182C	RGM1		0.51	2.06
iJx139I			1.69	0.66
YDR444W			0.76	1.23
iDx810I			0.76	1.72
YDR110W	FOB1		1.04	1.1
iPx245I			0.49	1.35
iLx322I			0.56	1.71
YHR033W			0.88	1.03
YBR196C	PGI1		0.86	1.31
iEx193I			0.45	1.69
iEx259I			0.63	1.29
YDR445C			1.21	0.85
iAx002I			1.38	0.89
iOx288I			2.6	0.34
iKx365I			0.47	1.37
iGx442I			0.7	1.26
YDR111C			1.15	0.93
YHR034C			0.91	1.15
YGL059W			1.01	1.17
iKx031I			1.09	0.97
iGx508I			0.52	1.56
YJL200C			1.26	0.84
YGR077C	PEX8		0.63	1.76
iJx074I			1.27	0.71
iFx151I			0.98	1.05
YMR183C	SSO2		1.02	1.07
